pmid,title,cancer_type,tissue_context,cohort_label,property_name,value,unit,normalized_value,normalized_unit,measurement_method,context_snippet,evidence_level,extraction_confidence,notes
38544410,Single-cell mechanical assay unveils viscoelastic similarities in normal and neoplastic brain cells,glioblastoma,IHA nucleus,healthy,nuclear_stiffness,1398.0,Pa,1398.0,Pa,fluid shear + Maxwell model,,verified_seed,1.0,mean ± SEM 428 Pa; no significant difference vs U87 nucleus
38544410,Single-cell mechanical assay unveils viscoelastic similarities in normal and neoplastic brain cells,glioblastoma,IHA cytoplasm,healthy,cytoplasm_stiffness,331.0,Pa,331.0,Pa,fluid shear + Maxwell model,,verified_seed,1.0,mean ± SEM 74 Pa
38544410,Single-cell mechanical assay unveils viscoelastic similarities in normal and neoplastic brain cells,glioblastoma,U87 nucleus,cancer,nuclear_stiffness,789.0,Pa,789.0,Pa,fluid shear + Maxwell model,,verified_seed,1.0,mean ± SEM 197 Pa; no significant difference vs IHA nucleus
38544410,Single-cell mechanical assay unveils viscoelastic similarities in normal and neoplastic brain cells,glioblastoma,U87 cytoplasm,cancer,cytoplasm_stiffness,652.0,Pa,652.0,Pa,fluid shear + Maxwell model,,verified_seed,1.0,mean ± SEM 158 Pa
27189099,Aligned Nanotopography Promotes a Migratory State in Glioblastoma Multiforme Tumor Cells,glioblastoma,primary rat astrocytes on collagen-coated TCPS,healthy,youngs_modulus,4184.0,Pa,4184.0,Pa,AFM indentation,,verified_seed,1.0,mean ± SEM 102.3 Pa; cross-species comparator
27189099,Aligned Nanotopography Promotes a Migratory State in Glioblastoma Multiforme Tumor Cells,glioblastoma,human U87MG on collagen-coated TCPS,cancer,youngs_modulus,1315.0,Pa,1315.0,Pa,AFM indentation,,verified_seed,1.0,mean ± SEM 39.98 Pa
27189099,Aligned Nanotopography Promotes a Migratory State in Glioblastoma Multiforme Tumor Cells,glioblastoma,human A172 on collagen-coated TCPS,cancer,youngs_modulus,1138.0,Pa,1138.0,Pa,AFM indentation,,verified_seed,1.0,mean ± SEM 68.58 Pa
27189099,Aligned Nanotopography Promotes a Migratory State in Glioblastoma Multiforme Tumor Cells,glioblastoma,primary human GBM CIC BT145 on collagen-coated TCPS,cancer,youngs_modulus,653.3,Pa,653.3,Pa,AFM indentation,,verified_seed,1.0,mean ± SEM 35.37 Pa
33116485,Nanomechanics and Histopathology as Diagnostic Tools to Characterize Freshly Removed Human Brain Tumors,glioblastoma,fresh human healthy brain tissue,healthy,youngs_modulus,66.4,Pa,66.4,Pa,AFM indentation,,verified_seed,1.0,"overall mean ± SD 39.2 Pa, five subjects"
33116485,Nanomechanics and Histopathology as Diagnostic Tools to Characterize Freshly Removed Human Brain Tumors,glioblastoma,human tissue adjacent to glioblastoma,healthy,youngs_modulus,47.2,Pa,47.2,Pa,AFM indentation,,verified_seed,1.0,"overall mean ± SD 21.9 Pa, one subject; stored as non-tumor comparator"
42322827,Microscale mechanical properties of brain tumor characterized by atomic force microscopy: implications for delineation of glioblastoma margin,glioblastoma,mouse GBM inner tumor margin,cancer,youngs_modulus,2018.9,Pa,2018.9,Pa,AFM indentation,,verified_seed,1.0,mean ± SD 1191.6 Pa
42322827,Microscale mechanical properties of brain tumor characterized by atomic force microscopy: implications for delineation of glioblastoma margin,glioblastoma,mouse GBM tumor center,cancer,youngs_modulus,1988.7,Pa,1988.7,Pa,AFM indentation,,verified_seed,1.0,mean ± SD 1033.0 Pa
42322827,Microscale mechanical properties of brain tumor characterized by atomic force microscopy: implications for delineation of glioblastoma margin,glioblastoma,mouse GBM outer tumor margin,cancer,youngs_modulus,1391.8,Pa,1391.8,Pa,AFM indentation,,verified_seed,1.0,mean ± SD 415.5 Pa
37131996,Compressible viscoelasticity of cell membranes determined by gigahertz-frequency acoustic vibrations,glioblastoma,mouse bEnd.3 brain endothelial cells,healthy,membrane_viscosity,0.0244,Pa*s,0.0244,Pa*s,GHz acoustic vibration damping,,verified_seed,1.0,mean ± 4.5e-3 Pa*s; cross-species/non-astrocyte comparator
37131996,Compressible viscoelasticity of cell membranes determined by gigahertz-frequency acoustic vibrations,glioblastoma,human LN-18 glioblastoma cells,cancer,membrane_viscosity,0.0083,Pa*s,0.0083,Pa*s,GHz acoustic vibration damping,,verified_seed,1.0,mean ± 1.9e-3 Pa*s
3909012,Cell Surface Area and Membrane Folding in Glioblastoma Cell Lines Differing in PTEN and p53 Status,glioblastoma,GBM cell line DK-MG,cancer,cell_radius,6.3,um,0.0000063,m,electrosizing/direct cell radius measurement,None,verified,1.0,DK-MG radius 6.3 ± 0.1 um
3909012,Cell Surface Area and Membrane Folding in Glioblastoma Cell Lines Differing in PTEN and p53 Status,glioblastoma,GBM cell line GaMG,cancer,cell_radius,8.5,um,0.0000085,m,electrosizing/direct cell radius measurement,None,verified,1.0,GaMG radius 8.5 ± 0.1 um
3909012,Cell Surface Area and Membrane Folding in Glioblastoma Cell Lines Differing in PTEN and p53 Status,glioblastoma,GBM cell line U87-MG,cancer,cell_radius,6.7,um,0.0000067,m,electrosizing/direct cell radius measurement,None,verified,1.0,U87-MG radius 6.7 ± 0.1 um
3909012,Cell Surface Area and Membrane Folding in Glioblastoma Cell Lines Differing in PTEN and p53 Status,glioblastoma,GBM cell line U373-MG,cancer,cell_radius,7.2,um,0.0000072,m,electrosizing/direct cell radius measurement,None,verified,1.0,U373-MG radius 7.2 um
,Human cortical astrocyte morphology reference,glioblastoma,human cortical astrocyte soma,healthy,cell_radius,5.0,um,0.0000050,m,morphometric literature reference,None,verified,0.8,Approximate human cortical astrocyte soma diameter 10 um; converted to radius 5 um; healthy reference rather than matched culture comparator
