pmid,year,title,journal,doi,study_type,model_context,primary_method,bottom_line,relevance,evidence_direction,verification_status,source_url,verification_notes
39413547,2024,"Estimates of natural frequencies for nuclear vibration, and an assessment of the feasibility of selective ultrasound ablation of cancer cells",Journal of the Mechanical Behavior of Biomedical Materials,10.1016/j.jmbbm.2024.106778,experimental measurements + theoretical frequency estimate,multiple cancerous and non-cancerous cell types / brain regions,cell/nuclear size + effective indentation modulus + theoretical model,Potential nuclear natural-frequency differences on the order of tens of kHz were estimated for certain cancerous vs non-cancerous cells; selective ultrasound ablation has not yet been achieved.,"Directly supports the project question, but does not validate a GBM treatment frequency.",supports frequency-response hypothesis,manually_verified_primary_abstract,https://pubmed.ncbi.nlm.nih.gov/39413547/,Verified against PubMed primary-paper abstract. Exact cell-type-specific frequencies were not available in the abstract and are not entered as verified numeric values.
38544410,2024,Single-cell mechanical assay unveils viscoelastic similarities in normal and neoplastic brain cells,Biophysical Journal,10.1016/j.bpj.2024.03.034,matched single-cell mechanical comparison,U87 human GBM vs immortalized human astrocytes,fluid shear stress + imaging + generalized Maxwell model,"U87 GBM and immortalized human astrocytes showed no statistically significant differences in nuclear or cytoplasmic stiffness, viscosity, or relaxation time under the tested shear assay.",Important challenge to a simple universal GBM-vs-healthy stiffness-separation assumption.,challenges simple stiffness separation,manually_verified_fulltext,https://pmc.ncbi.nlm.nih.gov/articles/PMC11079864/,"Verified against full text, including Table 1 and Results. Values below are mean ± SEM."
27189099,2016,Aligned Nanotopography Promotes a Migratory State in Glioblastoma Multiforme Tumor Cells,Scientific Reports,10.1038/srep26143,single-cell AFM comparison,human U87MG/A172/BT145 GBM vs primary rat astrocytes,atomic force microscopy + traction force microscopy,GBM tumor cells were significantly softer than primary astrocytes; more invasive GBM initiating cells were softer still.,"Strong mechanical contrast in vitro, but comparator is cross-species and substrate/context dependent.",supports cell-mechanical separation,manually_verified_fulltext,https://pmc.ncbi.nlm.nih.gov/articles/PMC4870554/,Verified against open full text. Exact AFM stiffness values are included below.
25844043,2014,Compression stiffening of brain and its effect on mechanosensing by glioma cells,New Journal of Physics,10.1088/1367-2630/16/7/075002,cell + human tissue mechanics,LN229 glioma / normal astrocytes / human glioma tissue / normal brain tissue,AFM cell indentation + bulk rheology,"Human glioma tissue had elastic moduli on the order of 200 Pa and was indistinguishable from normal brain without compression, but glioma tissue stiffened more strongly under compression; normal astrocytes were stiffer than glioma cells in vitro.",Shows that cell-scale and tissue-scale mechanics can give different answers and depend on mechanical state.,mixed / context-dependent,manually_verified_primary_fulltext,https://pmc.ncbi.nlm.nih.gov/articles/PMC4380293/,"Verified against PubMed and PMC full text. The ~200 Pa tissue statement is an order-of-magnitude result, not entered as a precise group mean."
33116485,2020,Nanomechanics and Histopathology as Diagnostic Tools to Characterize Freshly Removed Human Brain Tumors,International Journal of Nanomedicine,10.2147/IJN.S270147,fresh human brain-tissue AFM,human healthy brain / tissue adjacent to GBM / GBM tissue,atomic force microscopy,"Fresh GBM tissue was highly mechanically heterogeneous and, in the sampled ex vivo tissue, approximately three- to fourfold stiffer than healthy or adjacent tissue; healthy and adjacent tissue means were 66.4 ± 39.2 Pa and 47.2 ± 21.9 Pa.","Strong evidence of tissue-scale mechanical heterogeneity, but not the same thing as isolated-cell resonance.",supports tissue mechanical contrast and heterogeneity,manually_verified_fulltext,https://pmc.ncbi.nlm.nih.gov/articles/PMC7547774/,"Verified against open full text. Exact overall GBM mean was not safely recoverable from the accessible text, so only directly visible healthy/adjacent values are seeded."
34102526,2021,Multiscale rheology of glioma cells,Biomaterials,10.1016/j.biomaterials.2021.120903,multiscale glioma-cell rheology,human glioma cells of different grades,parallel-plate rheometer + optical tweezers,"Grade IV GBM cells were softer than grade III astrocytoma cells in whole-cell measurements but stiffer at the intracellular scale, demonstrating scale-dependent mechanical behavior.",Shows why one scalar stiffness value may be inadequate for frequency modeling.,supports multiscale complexity / heterogeneity,manually_verified_primary_abstract,https://pubmed.ncbi.nlm.nih.gov/34102526/,Verified against PubMed primary-paper abstract; no matched healthy comparator.
40949715,2025,The glioblastoma biomechanical landscape: A systematic review of magnetic resonance elastography (MRE) of brain tumors and healthy brain,APL Bioengineering,10.1063/5.0277950,systematic review and meta-analysis,"human GBM / healthy brain, plus animal models",MRE literature synthesis,"Pooled human GBM measurements suggested overall stiffness similar to surrounding healthy brain, whereas mouse GBM tended to appear softer than brain tissue.",Direct warning that in vivo human tissue mechanics may not match AFM/in-vitro assumptions.,challenges simple tissue stiffness separation,manually_verified_review,https://pmc.ncbi.nlm.nih.gov/articles/PMC12433313/,Verified against PubMed/PMC review abstract.
42322827,2026,Microscale mechanical properties of brain tumor characterized by atomic force microscopy: implications for delineation of glioblastoma margin,Journal of Biomechanics,10.1016/j.jbiomech.2026.113419,mouse ex vivo GBM-margin AFM,GBM-bearing mice and healthy mice,atomic force microscopy,"GBM tissue showed pronounced spatial mechanical heterogeneity; Young’s modulus varied across tumor center and margins, with the inner margin displaying the strongest heterogeneity.",Strong evidence that GBM cannot be represented by one mechanical number.,supports heterogeneity,manually_verified_primary_abstract,https://pubmed.ncbi.nlm.nih.gov/42322827/,Verified against PubMed primary-paper abstract. Exact GBM-region values are included below; healthy mouse values were not stated in the abstract.
37131996,2023,Compressible viscoelasticity of cell membranes determined by gigahertz-frequency acoustic vibrations,Photoacoustics,10.1016/j.pacs.2023.100494,high-frequency acoustic membrane viscoelasticity,human LN-18 GBM vs mouse bEnd.3 brain endothelial cells,GHz acoustic vibration damping of gold nanoplates + viscoelastic model,Measured membrane viscosity was about threefold lower in LN-18 GBM cells than in bEnd.3 cells.,"Direct acoustic/viscoelastic differentiation evidence, but at GHz frequencies and with a cross-species, non-astrocyte comparator.","supports acoustic mechanical differentiation, with major context caveats",manually_verified_primary_fulltext,https://pmc.ncbi.nlm.nih.gov/articles/PMC10149280/,Verified against PubMed full record/figures. Not directly transferable to kHz therapeutic ultrasound.
42193885,2026,The Biomechanics of Glioblastoma: Why Glioblastoma Models and Clinical Reality Diverge,Cells,10.3390/cells15100876,review,GBM preclinical vs clinical biomechanics,narrative review,"Preclinical in-vitro/ex-vivo studies often report increased GB stiffness, whereas clinical in-vivo studies often report decreased stiffness; method, scale, sample preparation, edema, necrosis and confinement contribute to the discrepancy.",Explains why a literature engine must harmonize method and scale rather than pool all stiffness values.,supports method-harmonization requirement,manually_verified_review_fulltext,https://pmc.ncbi.nlm.nih.gov/articles/PMC13204454/,Verified against 2026 open full-text review.
